Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22 00:00:00-04:00,131.04733663679463,132.74491390938678,130.97103923044594,132.0200958251953,25074900,0.0,0.0
2019-07-23 00:00:00-04:00,133.28852446083988,133.5078849801762,131.63863474339314,132.8402862548828,18034600,0.0,0.0
2019-07-24 00:00:00-04:00,132.46833774387784,134.2231490351099,132.42066459677181,134.20407104492188,20738300,0.0,0.0
2019-07-25 00:00:00-04:00,133.92745549326003,134.09912825479935,132.86886743142932,133.69857788085938,18356900,0.0,0.0
2019-07-26 00:00:00-04:00,133.8702479575411,135.119586876776,133.80349683208647,134.7953338623047,19037600,0.0,0.0
2019-07-29 00:00:00-04:00,134.94796355807742,134.95749527782496,132.91658672907172,134.49972534179688,16605900,0.0,0.0
2019-07-30 00:00:00-04:00,133.65088331869825,134.68087617823105,133.3266303496522,133.85116577148438,16846500,0.0,0.0
2019-07-31 00:00:00-04:00,133.83213134553083,133.98472616377197,128.82522847090584,129.9601287841797,38598800,0.0,0.0
2019-08-01 00:00:00-04:00,130.656305993656,134.41386923891238,130.5895403120872,131.66722106933594,40557500,0.0,0.0
2019-08-02 00:00:00-04:00,131.6958592766609,131.91521980451142,128.99689821663367,130.5609588623047,30791600,0.0,0.0
2019-08-05 00:00:00-04:00,127.12764436527884,127.72846278270656,124.7243270388418,126.08811950683594,42749600,0.0,0.0
2019-08-06 00:00:00-04:00,127.60450414551673,129.39744239888455,127.04182710196628,128.4532928466797,32696700,0.0,0.0
2019-08-07 00:00:00-04:00,127.59494877826788,129.36882346632314,125.72571324596849,129.01596069335938,33414500,0.0,0.0
2019-08-08 00:00:00-04:00,130.2748594264992,132.55419193458067,129.63587039859377,132.4588165283203,27496500,0.0,0.0
2019-08-09 00:00:00-04:00,132.19177068574552,132.9261205000734,130.14133061007763,131.3334503173828,23466700,0.0,0.0
2019-08-12 00:00:00-04:00,130.72304769139936,131.4764607248922,128.97778319987233,129.50230407714844,20484300,0.0,0.0
2019-08-13 00:00:00-04:00,129.75032364225407,132.37298723661252,128.74894008668664,132.1822509765625,25154600,0.0,0.0
2019-08-14 00:00:00-04:00,130.47898830604376,131.01483396879027,127.90500183255858,128.20162963867188,32527300,0.46,0.0
2019-08-15 00:00:00-04:00,128.5939665209978,128.77577445090384,126.54626199597938,127.91458129882812,28074400,0.0,0.0
2019-08-16 00:00:00-04:00,129.06280673862162,130.57466515785322,128.9097038251228,130.25889587402344,24449100,0.0,0.0
2019-08-19 00:00:00-04:00,131.9047061998264,132.57451314730903,130.98610338563844,132.4405517578125,24355700,0.0,0.0
2019-08-20 00:00:00-04:00,132.24920370258235,132.72763940650492,131.32103726891665,131.3401641845703,21170800,0.0,0.0
2019-08-21 00:00:00-04:00,132.57454415322917,133.4740056647948,132.04826192830248,132.80418395996094,14970300,0.0,0.0
2019-08-22 00:00:00-04:00,132.6798202392217,133.19652448155736,130.41202460713788,131.8377685546875,18697000,0.0,0.0
2019-08-23 00:00:00-04:00,131.2732308586433,132.38320553480816,127.07256467968647,127.63711547851562,38508600,0.0,0.0
2019-08-26 00:00:00-04:00,129.16806270815601,129.71347175960096,128.12506188925713,129.60821533203125,20312600,0.0,0.0
2019-08-27 00:00:00-04:00,130.50771815178342,130.82348753479968,128.8523343566091,129.88575744628906,23102100,0.0,0.0
2019-08-28 00:00:00-04:00,129.06283535099047,129.90487236051305,127.79019447670323,129.7135009765625,17393300,0.0,0.0
2019-08-29 00:00:00-04:00,131.33061241083573,132.46929182358818,131.00527960739225,132.1630859375,20168700,0.0,0.0
2019-08-30 00:00:00-04:00,133.14867986286694,133.17738484336337,130.39289953029473,131.91432189941406,23940100,0.0,0.0
2019-09-03 00:00:00-04:00,130.71821428268396,131.2827649552395,129.84745772628128,130.17279052734375,18869300,0.0,0.0
2019-09-04 00:00:00-04:00,131.3784293347066,131.75160854894295,130.5937878787395,131.69419860839844,17995900,0.0,0.0
2019-09-05 00:00:00-04:00,133.1104107834143,134.3256418211704,132.77549987829423,134.00987243652344,26101800,0.0,0.0
2019-09-06 00:00:00-04:00,133.9906981945414,134.1342230612847,132.23962181678058,133.10081481933594,20824500,0.0,0.0
2019-09-09 00:00:00-04:00,133.5697059186549,133.72280888200856,130.57470767682338,131.5889892578125,25773900,0.0,0.0
2019-09-10 00:00:00-04:00,130.90002347375557,130.98613840416223,128.7087795731837,130.21107482910156,28903400,0.0,0.0
2019-09-11 00:00:00-04:00,130.04843950401647,130.3929139086608,129.26379768205288,130.24937438964844,24726100,0.0,0.0
2019-09-12 00:00:00-04:00,131.90475864446609,132.45016787544793,130.9670139444516,131.5889892578125,27010000,0.0,0.0
2019-09-13 00:00:00-04:00,131.83773565984964,132.10565847431528,130.67992948320133,131.3975830078125,23363100,0.0,0.0
2019-09-16 00:00:00-04:00,129.97188154465974,130.80435523082056,129.80921511177218,130.4503173828125,16731400,0.0,0.0
2019-09-17 00:00:00-04:00,131.05310616196792,131.58895178039106,130.5459509152124,131.4645538330078,17814200,0.0,0.0
2019-09-18 00:00:00-04:00,131.4358932776879,132.6893928302526,130.6416880388844,132.54586791992188,23982100,0.0,0.0
2019-09-19 00:00:00-04:00,134.24910556450703,136.22982243738585,134.0290291565658,134.98590087890625,35772100,0.0,0.0
2019-09-20 00:00:00-04:00,134.9284279340216,135.54082503272377,132.2874681834994,133.4261474609375,39167300,0.0,0.0
2019-09-23 00:00:00-04:00,133.22521405140506,133.60797140951138,132.46929199528307,133.13909912109375,17139300,0.0,0.0
2019-09-24 00:00:00-04:00,134.30647460654583,134.62224393078301,130.97656611567098,131.4550018310547,29773200,0.0,0.0
2019-09-25 00:00:00-04:00,131.56979773673706,133.92370745146084,130.16319582196857,133.34957885742188,21382000,0.0,0.0
2019-09-26 00:00:00-04:00,133.4261721906966,134.13424779814392,132.46930063408024,133.5218505859375,17456600,0.0,0.0
2019-09-27 00:00:00-04:00,134.10551338122008,134.30646278830648,130.75646366823221,131.78988647460938,22477700,0.0,0.0
2019-09-30 00:00:00-04:00,132.0961140086911,133.2156519159595,131.83775461449056,133.03384399414062,17280900,0.0,0.0
2019-10-01 00:00:00-04:00,133.63669550975246,134.20124626795888,131.0914134667406,131.1584014892578,21466600,0.0,0.0
2019-10-02 00:00:00-04:00,130.37377405568319,130.48859399180054,127.81892827214438,128.8427734375,30521700,0.0,0.0
2019-10-03 00:00:00-04:00,129.1297945683629,130.8521660359596,127.47441110816955,130.40243530273438,24132900,0.0,0.0
2019-10-04 00:00:00-04:00,130.85217666434818,132.28748390381085,130.53640731958234,132.1630859375,22897700,0.0,0.0
2019-10-07 00:00:00-04:00,131.22531827037,132.2204579129193,131.1104983964171,131.2061767578125,15303700,0.0,0.0
2019-10-08 00:00:00-04:00,131.16794843775963,131.81861405669403,129.7709096078409,129.81875610351562,25550500,0.0,0.0
2019-10-09 00:00:00-04:00,131.5315649698093,132.71807630480527,131.06269267087342,132.27792358398438,19749900,0.0,0.0
2019-10-10 00:00:00-04:00,132.51712269341564,133.646223913659,132.28746830592786,133.10081481933594,17654600,0.0,0.0
2019-10-11 00:00:00-04:00,134.07681799503197,134.94757448683325,133.48356238996695,133.65579223632812,25446000,0.0,0.0
2019-10-14 00:00:00-04:00,133.66539454384088,134.2395087365635,133.50272812586772,133.53143310546875,13304300,0.0,0.0
2019-10-15 00:00:00-04:00,134.01937904758492,135.67476214912156,133.7801612456006,135.46426391601562,19695700,0.0,0.0
2019-10-16 00:00:00-04:00,134.7179255648118,134.90931153614378,133.51227278919853,134.3543243408203,20751600,0.0,0.0
2019-10-17 00:00:00-04:00,134.87102752272216,135.3207582708288,133.02427263850936,133.66537475585938,21460600,0.0,0.0
2019-10-18 00:00:00-04:00,133.73235818030992,133.96201260102106,130.67037224099815,131.4837188720703,32273500,0.0,0.0
2019-10-21 00:00:00-04:00,132.47885831536883,132.52670481125307,131.10096099782564,132.459716796875,20078200,0.0,0.0
2019-10-22 00:00:00-04:00,132.97644308619013,133.97158309344846,130.38331471039456,130.4885711669922,27431000,0.0,0.0
2019-10-23 00:00:00-04:00,130.9765401734219,131.52194918856767,129.76130960884964,131.32101440429688,29844600,0.0,0.0
2019-10-24 00:00:00-04:00,133.37831979776226,134.3638962894612,132.68937113939208,133.90460205078125,37029300,0.0,0.0
2019-10-25 00:00:00-04:00,133.3304414403137,135.0528126746491,133.19648004434856,134.66049194335938,25959700,0.0,0.0
2019-10-28 00:00:00-04:00,138.17221776706393,139.3874484756287,137.32060284547873,137.97128295898438,35280100,0.0,0.0
2019-10-29 00:00:00-04:00,137.86605710998305,138.26794141599382,136.49772317696176,136.6699676513672,20589500,0.0,0.0
2019-10-30 00:00:00-04:00,137.33018265960527,138.74634819435906,136.63165604929637,138.3731689453125,18496600,0.0,0.0
2019-10-31 00:00:00-04:00,138.6506575557394,138.67936252917337,136.8230443107493,137.1866455078125,24605100,0.0,0.0
2019-11-01 00:00:00-04:00,138.03828012387018,138.1913830711329,136.80392228822868,137.52157592773438,33128400,0.0,0.0
2019-11-04 00:00:00-05:00,138.58370349623067,138.74636990196268,137.94260133221601,138.31578063964844,16912000,0.0,0.0
2019-11-05 00:00:00-05:00,138.7176745440055,138.76552104329184,137.7033930022223,138.22967529296875,18250200,0.0,0.0
2019-11-06 00:00:00-05:00,138.14355169547585,138.28709119950847,137.02401364739245,137.846923828125,16575800,0.0,0.0
2019-11-07 00:00:00-05:00,137.63640000355522,138.63155459018165,137.5694265875387,138.0382843017578,17786700,0.0,0.0
2019-11-08 00:00:00-05:00,137.77033174000624,139.69365248197124,137.55981887669964,139.66494750976562,16732700,0.0,0.0
2019-11-11 00:00:00-05:00,139.07169184013134,140.10511474930792,138.48799967663436,139.80848693847656,14362600,0.0,0.0
2019-11-12 00:00:00-05:00,139.97112955308202,141.20550167963825,139.76061670360264,140.72706604003906,18641600,0.0,0.0
2019-11-13 00:00:00-05:00,140.41134735849573,141.10029609581466,139.97117998715774,140.95675659179688,16919200,0.0,0.0
2019-11-14 00:00:00-05:00,140.67925275926132,142.0093035672397,140.66011124096437,141.6743927001953,19729800,0.0,0.0
2019-11-15 00:00:00-05:00,142.50685966442194,143.5211556775703,141.8753355967557,143.50201416015625,23485700,0.0,0.0
2019-11-18 00:00:00-05:00,143.5976885766633,144.056982730307,142.5546877226232,143.8560333251953,21534000,0.0,0.0
2019-11-19 00:00:00-05:00,144.3727571156945,144.803346312466,143.72207699110996,143.9038848876953,23935700,0.0,0.0
2019-11-20 00:00:00-05:00,144.31674132194024,144.82560765135997,142.5405144938992,143.6542510986328,25696800,0.51,0.0
2019-11-21 00:00:00-05:00,143.4430549787061,143.82711480197244,142.57894601452932,143.51986694335938,18576100,0.0,0.0
2019-11-22 00:00:00-05:00,144.0863141674695,144.30713934930463,142.88615501561299,143.6254425048828,15901800,0.0,0.0
2019-11-25 00:00:00-05:00,144.01909028636743,145.3152679590965,143.94227834683582,145.20004272460938,22420900,0.0,0.0
